scenario_id,local_seed,category,policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
heterogeneity_identical,10,heterogeneity,health_greedy,343.0,-10.0,23,23
heterogeneity_identical,11,heterogeneity,health_greedy,306.0,-3.0,27,27
heterogeneity_identical,12,heterogeneity,health_greedy,265.0,-27.0,23,23
heterogeneity_identical,13,heterogeneity,health_greedy,359.0,23.0,24,24
heterogeneity_identical,14,heterogeneity,health_greedy,273.0,16.0,25,25
heterogeneity_identical,15,heterogeneity,health_greedy,249.0,15.0,29,29
heterogeneity_identical,16,heterogeneity,health_greedy,249.0,-7.0,22,22
heterogeneity_identical,17,heterogeneity,health_greedy,309.0,25.0,26,26
heterogeneity_identical,18,heterogeneity,health_greedy,366.0,0.0,16,16
heterogeneity_identical,19,heterogeneity,health_greedy,336.0,1.0,23,23
heterogeneity_gp_re_low_perm_0,0,heterogeneity,health_greedy,387.0,-5.0,21,21
heterogeneity_gp_re_low_perm_0,1,heterogeneity,health_greedy,307.0,-4.0,25,25
heterogeneity_gp_re_low_perm_0,2,heterogeneity,health_greedy,335.0,0.0,25,25
heterogeneity_gp_re_low_perm_0,3,heterogeneity,health_greedy,414.0,-2.0,29,29
heterogeneity_gp_re_low_perm_0,4,heterogeneity,health_greedy,278.0,1.0,21,21
heterogeneity_gp_re_low_perm_0,5,heterogeneity,health_greedy,379.0,-14.0,28,28
heterogeneity_gp_re_low_perm_0,6,heterogeneity,health_greedy,317.0,-16.0,23,23
heterogeneity_gp_re_low_perm_0,7,heterogeneity,health_greedy,182.0,0.0,22,22
heterogeneity_gp_re_low_perm_0,8,heterogeneity,health_greedy,263.0,-9.0,18,18
heterogeneity_gp_re_low_perm_0,9,heterogeneity,health_greedy,250.0,-13.0,23,23
