policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,month,local_seed,simulation_seed
expected_n_plus_one,True,True,300.0,1066.0,766.0,16.515696458388867,5.938318578575734,1066.0,27.560238343215133,0.8056204591239311,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1066.0,300.0,8.699108035860005,9.504728494983937,9.356401812371189,2025-07,5,1005
fixed_pair,True,True,835.0,1106.0,271.0,23.0601487741382,3.1833373607955577,1106.0,26.488728583159148,1.676888569110921,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,835.0,1106.0,7.715654179401786,9.380531655244656,9.392542748512707,2025-07,6,1006
order_blend_50,True,True,835.0,1106.0,271.0,23.0601487741382,3.1833373607955577,1106.0,26.488728583159148,1.676888569110921,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,835.0,1106.0,7.715654179401786,9.380531655244656,9.392542748512707,2025-07,6,1006
expected_n_plus_one,True,True,303.0,1106.0,803.0,15.920108895333426,6.539257012348532,1106.0,26.48791484921469,1.6975292426812496,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1106.0,303.0,7.715654179401786,9.413183422083035,9.359077247729868,2025-07,6,1006
fixed_pair,True,True,663.0,920.0,257.0,22.685457544634033,3.5047395441925087,920.0,26.67076247185254,1.4053298735784905,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,663.0,920.0,7.955772733041502,9.353887132191048,9.361102606619992,2025-07,7,1007
order_blend_50,True,True,663.0,920.0,257.0,22.685457544634033,3.5047395441925087,920.0,26.67076247185254,1.4053298735784905,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,663.0,920.0,7.955772733041502,9.353887132191048,9.361102606619992,2025-07,7,1007
expected_n_plus_one,True,True,304.0,919.0,615.0,15.904923492871003,6.551813869964102,919.0,26.660689676700976,1.4090949622649394,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,919.0,304.0,7.948668013041502,9.354258688353035,9.357762975306441,2025-07,7,1007
fixed_pair,True,True,879.0,1080.0,201.0,25.043705345022115,2.0661584390373147,1080.0,28.065408773968542,0.38676315526087635,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,879.0,1080.0,9.161818108220883,9.54858126348176,9.3550094022659,2025-07,8,1008
order_blend_50,True,True,1063.0,1064.0,1.0,27.92176392038853,0.134082708700749,1064.0,27.937886276631918,0.12725627535860617,9,7,"(np.int64(1), np.int64(0), np.int64(2))",1064.0,1063.0,,9.355166079549461,9.354810392891602,9.227909804190855,2025-07,8,1008
expected_n_plus_one,True,True,300.0,1067.0,767.0,16.316950608220488,6.136732758393105,1067.0,27.98036569042904,0.08669862005496753,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1067.0,300.0,9.269537357140718,9.354592356092635,9.356235977195686,2025-07,8,1008
fixed_pair,True,True,707.0,975.0,268.0,22.38855479491248,3.8042796378089445,975.0,26.00721614181767,2.05922257557165,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,707.0,975.0,7.296393881053764,9.35520580413849,9.355616456625414,2025-07,9,1009
order_blend_50,True,True,707.0,975.0,268.0,22.38855479491248,3.8042796378089445,975.0,26.00721614181767,2.05922257557165,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,707.0,975.0,7.296393881053764,9.35520580413849,9.355616456625414,2025-07,9,1009
expected_n_plus_one,True,True,196.0,1015.0,819.0,15.523922974561767,7.345767673905605,1015.0,26.42785012342822,2.0561035920219473,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1015.0,196.0,7.508136026100627,9.355474479205022,9.564239618122574,2025-07,9,1009
fixed_pair,True,True,981.0,1185.0,204.0,24.97941353158335,1.8734165745222313,1185.0,27.3928358698722,0.674263852773219,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1185.0,981.0,,9.355420924712067,9.355839398966676,8.681575546193457,2025-07,10,1010
order_blend_50,True,True,1208.0,1219.0,11.0,27.846071759969412,0.1479583009185621,1219.0,28.28520598227439,0.3534269364227818,14,12,"(np.int64(0), np.int64(1), np.int64(2))",1208.0,1219.0,,9.37263681914495,9.632998049776111,9.27957111335333,2025-07,10,1010
expected_n_plus_one,True,True,300.0,1208.0,908.0,15.888227799821227,6.560545085912109,1208.0,27.837939449585306,0.24373320070989912,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1208.0,300.0,9.120212756059924,9.363945956769824,9.353780736755557,2025-07,10,1010
