strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,penalty_multiple
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1033.88264337621,65.15370640541117,46.044962988488415,2,2,0,2,0.034444444444444444,0.9655555555555555,0.0,0.0,1034.120919369347,0.021313800010830164,2032,development,1.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1032.222904539529,65.0491121968058,46.11899991691683,16,9,7,16,0.05555555555555555,0.9444444444444444,0.0,0.0,1034.1291124846246,0.023066299967467785,2032,development,1.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1030.1605164336077,64.91914364572499,46.21133045703003,16,9,7,16,0.17777777777777778,0.8222222222222222,0.0,0.0,1032.0667243787032,0.03664979990571737,2032,development,1.0
one_step_greedy,900,1.0,0.238275993136941,1.0,2.0,1033.88264337621,65.15370640541117,46.044962988488415,2,2,0,2,0.034444444444444444,0.9655555555555555,0.0,0.0,1034.359195362484,0.02070860005915165,2032,development,2.0
break_even_hysteresis,900,1.0,0.238275993136941,1.0,2.0,1032.413836326002,65.06114442661352,46.11047079542051,2,2,0,2,0.017777777777777778,0.9822222222222222,0.0,0.0,1032.890388312276,0.023079500067979097,2032,development,2.0
offline_dp,900,1.0,0.238275993136941,1.0,2.0,1032.2179953859743,65.0488028294405,46.11921925551911,2,2,0,2,0.015555555555555555,0.9844444444444445,0.0,0.0,1032.6945473722483,0.031354600097984076,2032,development,2.0
one_step_greedy,900,1.0,0.476551986273882,1.0,2.0,1033.88264337621,65.15370640541117,46.044962988488415,2,2,0,2,0.034444444444444444,0.9655555555555555,0.0,0.0,1034.8357473487576,0.02019320009276271,2032,development,4.0
break_even_hysteresis,900,1.0,0.476551986273882,1.0,2.0,1032.6096772660296,65.07348602378654,46.1017256537232,2,2,0,2,0.02,0.98,0.0,0.0,1033.5627812385774,0.024225899949669838,2032,development,4.0
offline_dp,900,1.0,0.476551986273882,1.0,2.0,1032.2179953859743,65.0488028294405,46.11921925551911,2,2,0,2,0.015555555555555555,0.9844444444444445,0.0,0.0,1033.171099358522,0.031193000031635165,2032,development,4.0
one_step_greedy,900,1.0,0.0,1.0,2.0,1032.1950497654304,64.91095723247558,46.2171585184862,24,13,11,24,0.3,0.7,0.0,0.0,1032.1950497654304,0.0205377999227494,2033,development,0.0
