load_source,continuous_multiplier,start_stop_multiplier,load_shift_multiplier,n_pairs,mean_beam_minus_average_pct,ci95_pct,mean_relative_pct,beam_lower_share
real_block_bootstrap,2.0,2.0,0.5,10,-0.0004957203333333333,0.0008479890295006855,-5.894985959335194,0.8
synthetic_event_markov,2.0,2.0,0.5,10,-3.317383333333347e-05,3.472979222892231e-05,-0.38570655886831884,0.8
real_block_bootstrap,2.0,2.0,1.0,10,-0.0005520553333333331,0.0008446883367647226,-6.469310392405347,0.8
synthetic_event_markov,2.0,2.0,1.0,10,-5.570783333333322e-05,6.20258406420172e-05,-0.6302985488214685,0.8
real_block_bootstrap,2.0,2.0,2.0,10,-0.0006647253333333335,0.0008413352644664472,-7.517675334266848,0.8
synthetic_event_markov,2.0,2.0,2.0,10,-0.00010077583333333324,0.00011687685373653853,-1.08113514174106,0.8
real_block_bootstrap,2.0,2.0,4.0,10,-0.0008900653333333332,0.0008477151267630843,-9.289430563479797,0.8
synthetic_event_markov,2.0,2.0,4.0,10,-0.0001909118333333338,0.0002267372744360598,-1.8519881450248998,0.8
real_block_bootstrap,2.0,4.0,0.25,10,-0.0008987528333333336,0.0016950319270113605,-5.418894098283117,0.8
synthetic_event_markov,2.0,4.0,0.25,10,-2.190683333333117e-05,2.126024207178485e-05,-0.13105051222226624,0.8
real_block_bootstrap,2.0,4.0,0.5,10,-0.000926920333333334,0.0016927149362062105,-5.574625314291526,0.8
synthetic_event_markov,2.0,4.0,0.5,10,-3.317383333333382e-05,3.472979222892204e-05,-0.19708249414974624,0.8
real_block_bootstrap,2.0,4.0,1.0,10,-0.0009832553333333337,0.0016884801635721962,-5.878504159402029,0.8
synthetic_event_markov,2.0,4.0,1.0,10,-5.570783333333183e-05,6.202584064201814e-05,-0.32637075006426564,0.8
real_block_bootstrap,2.0,4.0,2.0,10,-0.001095925333333333,0.0016816208652850302,-6.457691574412074,0.8
synthetic_event_markov,2.0,4.0,2.0,10,-0.00010077583333333238,0.00011687685373653787,-0.5743109904630953,0.8
real_block_bootstrap,2.0,4.0,4.0,10,-0.0013212653333333337,0.001674424768421538,-7.514176536897871,0.8
synthetic_event_markov,2.0,4.0,4.0,10,-0.00019091183333333137,0.00022673727443605962,-1.0310678761833565,0.8
